::1 - - [18/Apr/2020:01:21:04 -0300] "GET /cliente/visao/.../js/jquery-3.4.1.js HTTP/1.1" 403 238
::1 - - [18/Apr/2020:01:21:04 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:21:04 -0300] "GET /cliente/visao/index.html HTTP/1.1" 304 -
::1 - - [18/Apr/2020:01:21:04 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:21:04 -0300] "GET /cliente/visao/...root/css/materialize.css HTTP/1.1" 404 239
::1 - - [18/Apr/2020:01:21:04 -0300] "GET /cliente/visao/.../js/jquery-3.4.1.js HTTP/1.1" 403 238
::1 - - [18/Apr/2020:01:21:04 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:21:04 -0300] "GET /cliente/visao/index.html HTTP/1.1" 304 -
::1 - - [18/Apr/2020:01:21:04 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:21:04 -0300] "GET /cliente/visao/...root/css/materialize.css HTTP/1.1" 404 239
::1 - - [18/Apr/2020:01:21:04 -0300] "GET /cliente/visao/.../js/jquery-3.4.1.js HTTP/1.1" 403 238
::1 - - [18/Apr/2020:01:21:04 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:21:04 -0300] "GET /cliente/visao/.../root/js/materialize.js HTTP/1.1" 403 242
::1 - - [18/Apr/2020:01:21:23 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1118
::1 - - [18/Apr/2020:01:21:23 -0300] "GET /cliente/visao/css/materialize.css HTTP/1.1" 404 231
::1 - - [18/Apr/2020:01:21:23 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:21:23 -0300] "GET /cliente/visao/js/jquery-3.4.1.js HTTP/1.1" 404 230
::1 - - [18/Apr/2020:01:21:23 -0300] "GET /cliente/visao/js/materialize.js HTTP/1.1" 404 229
::1 - - [18/Apr/2020:01:21:23 -0300] "GET /cliente/visao/index.html HTTP/1.1" 304 -
::1 - - [18/Apr/2020:01:21:23 -0300] "GET /cliente/visao/css/materialize.css HTTP/1.1" 404 231
::1 - - [18/Apr/2020:01:21:23 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:21:23 -0300] "GET /cliente/visao/js/jquery-3.4.1.js HTTP/1.1" 404 230
::1 - - [18/Apr/2020:01:21:23 -0300] "GET /cliente/visao/js/materialize.js HTTP/1.1" 404 229
::1 - - [18/Apr/2020:01:22:22 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1136
::1 - - [18/Apr/2020:01:22:22 -0300] "GET /root/css/materialize.css HTTP/1.1" 404 222
::1 - - [18/Apr/2020:01:22:22 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:22:22 -0300] "GET /root/js/jquery-3.4.1.js HTTP/1.1" 404 221
::1 - - [18/Apr/2020:01:22:22 -0300] "GET /root/js/materialize.js HTTP/1.1" 404 220
::1 - - [18/Apr/2020:01:22:35 -0300] "GET /cliente/visao/index.html HTTP/1.1" 200 1133
::1 - - [18/Apr/2020:01:22:35 -0300] "GET /cliente/visao/root/css/materialize.css HTTP/1.1" 404 236
::1 - - [18/Apr/2020:01:22:36 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:22:36 -0300] "GET /cliente/visao/root/js/jquery-3.4.1.js HTTP/1.1" 404 235
::1 - - [18/Apr/2020:01:22:36 -0300] "GET /cliente/visao/root/js/materialize.js HTTP/1.1" 404 234
::1 - - [18/Apr/2020:01:22:36 -0300] "GET /cliente/visao/index.html HTTP/1.1" 304 -
::1 - - [18/Apr/2020:01:22:36 -0300] "GET /cliente/visao/root/css/materialize.css HTTP/1.1" 404 236
::1 - - [18/Apr/2020:01:22:36 -0300] "GET /cliente/visao/images/yuna.jpg HTTP/1.1" 404 227
::1 - - [18/Apr/2020:01:22:36 -0300] "GET /cliente/visao/root/js/jquery-3.4.1.js HTTP/1.1" 404 235
::1 - - [18/Apr/2020:01:22:36 -0300] "GET /cliente/visao/root/js/materialize.js HTTP/1.1" 404 234
